date,home_team,away_team,neutral_used,p_home_model,p_draw_model,p_away_model,p_home_model_corr,p_draw_model_corr,p_away_model_corr,lambda_home,lambda_away,scoreline_grid,top_scorelines,p_home_book,p_draw_book,p_away_book,n_books,p_home_poly,p_draw_poly,p_away_poly,poly_volume,div_model_book_home,div_model_book_draw,div_model_book_away,div_model_book_max,div_model_book_l1,div_model_poly_l1,div_book_poly_l1,divergence_type,note,flag_divergent
2026-06-22,Norway,Senegal,True,0.4406,0.2717,0.2876,0.4342,0.3107,0.2551,1.4182,1.095,"[[0.08440863830856153, 0.08531020383131095, 0.048566301595833264, 0.017726444704676575, 0.004852544329238905, 0.001291680296421798], [0.1114924690420123, 0.12919841837759882, 0.06887547712678713, 0.025139186981060067, 0.006881753293396532, 0.0018318277033257547], [0.0814663921230408, 0.0892044142423939, 0.048838713197893305, 0.01782587350699748, 0.004879762571751914, 0.0012989254167487664], [0.03851117917087985, 0.04216913367826199, 0.023087268079806544, 0.008426731448578065, 0.0023067845011260934, 0.0006140341820768282], [0.013653890418624675, 0.01495079461827266, 0.008185442129111726, 0.002987643335342583, 0.0008178555805316278, 0.00021770186257257882], [0.005012323654443334, 0.0054884153322098, 0.0030048641045089313, 0.0010967595975686765, 0.0003002336144887621, 7.991804254562208e-05]]","[{""score"": ""1-1"", ""prob"": 0.12919841837759882}, {""score"": ""1-0"", ""prob"": 0.1114924690420123}, {""score"": ""2-1"", ""prob"": 0.0892044142423939}]",0.4104,0.2743,0.3153,44,0.4187,0.2709,0.3103,161036,0.0238,0.0364,-0.0602,0.0602,0.1204,0.1105,0.0167,model_over_concentrated,,False
2026-06-22,Argentina,Austria,True,0.7651,0.1621,0.0728,0.7587,0.201,0.0402,2.3117,0.5703,"[[0.058019518115481, 0.029958645542834846, 0.009111909423347903, 0.0017322723900002092, 0.000246992767410639, 3.1086442707447877e-05], [0.1275164211714205, 0.07585851199691804, 0.021063567287064794, 0.0040044116277977194, 0.0005709614235674454, 7.186104989213436e-05], [0.14969192266504508, 0.08537415351416959, 0.024345822935852406, 0.004628403874993251, 0.0006599321725485507, 8.305888422483605e-05], [0.11534523076308857, 0.06578512228966618, 0.018759693339879414, 0.0035664203085991482, 0.0005085112635030236, 6.400108968655479e-05], [0.06665951988051186, 0.03801808395630007, 0.010841472533099061, 0.0020610810164454897, 0.0002938753206759491, 3.698706814413488e-05], [0.04810487670454536, 0.027435769782607457, 0.007823754212981, 0.0014873801724331888, 0.0002120752758640587, 2.6691736693057078e-05]]","[{""score"": ""2-0"", ""prob"": 0.14969192266504508}, {""score"": ""1-0"", ""prob"": 0.1275164211714205}, {""score"": ""3-0"", ""prob"": 0.11534523076308857}]",0.6048,0.2403,0.1549,45,0.6181,0.2362,0.1457,210861,0.1539,-0.0393,-0.1147,0.1539,0.3079,0.2813,0.0266,model_over_concentrated,,True
2026-06-22,Jordan,Algeria,True,0.2514,0.2649,0.4837,0.245,0.3038,0.4512,1.0179,1.513,"[[0.08289760550053303, 0.11711036874013458, 0.09109964548249713, 0.045945647664215154, 0.017379342104765248, 0.006936677451310772], [0.07769987400944316, 0.12587922261049417, 0.09272622054262257, 0.04676600260869495, 0.017689648520111623, 0.0070605311335361805], [0.041227835919066765, 0.06237915459702158, 0.047190918968894525, 0.023800502454336472, 0.009002747712736684, 0.003593298105436179], [0.013987984935539372, 0.021164309388145314, 0.01601116936933075, 0.008075152681869468, 0.0030544969576242753, 0.0012191520279263104], [0.0035594347519412343, 0.005385549003959929, 0.0040742617993258035, 0.0020548334313722455, 0.0007772586738382405, 0.00031022996636743304], [0.0008679515627629036, 0.0013132410059698133, 0.0009934897370717176, 0.0005010615483271107, 0.00018953090241673876, 7.564813036048653e-05]]","[{""score"": ""1-1"", ""prob"": 0.12587922261049417}, {""score"": ""0-1"", ""prob"": 0.11711036874013458}, {""score"": ""1-2"", ""prob"": 0.09272622054262257}]",0.1608,0.2352,0.604,44,0.1542,0.2338,0.6119,90420,0.0842,0.0686,-0.1528,0.1528,0.3056,0.3215,0.0159,model_under_concentrated,,True
2026-06-23,Portugal,Uzbekistan,True,0.6641,0.2098,0.1261,0.6577,0.2488,0.0936,1.9688,0.7258,"[[0.07017439998040671, 0.04643503485032506, 0.017797914129337008, 0.004306046477209489, 0.0007813571352720208, 0.0001287095448201711], [0.1304206709807295, 0.09916152647379077, 0.035040768715253044, 0.008477801251794698, 0.0015383462613716677, 0.00025340505402568297], [0.13095329232604935, 0.09504894096046096, 0.03449436443037822, 0.008345603611727476, 0.0015143582320089224, 0.000249453610823802], [0.0859408579296056, 0.06237787066173321, 0.02263765362616606, 0.005476978253792271, 0.0009938295048555945, 0.00016370918933796802], [0.04230037441491338, 0.030702594176539942, 0.011142327960541229, 0.0026957868047759056, 0.0004891661681387237, 8.057820425565507e-05], [0.02413642948245604, 0.01751878108694134, 0.006357769093296389, 0.0015382054890339051, 0.0002791163171908231, 4.59776106415237e-05]]","[{""score"": ""2-0"", ""prob"": 0.13095329232604935}, {""score"": ""1-0"", ""prob"": 0.1304206709807295}, {""score"": ""1-1"", ""prob"": 0.09916152647379077}]",0.7911,0.1406,0.0683,40,0.801,0.1343,0.0647,89782,-0.1334,0.1082,0.0253,0.1334,0.2669,0.2867,0.0198,model_under_concentrated,,False
2026-06-23,Colombia,DR Congo,True,0.758,0.1659,0.0762,0.7516,0.2048,0.0436,2.2837,0.5814,"[[0.05902510395499712, 0.031086326092296706, 0.009630440117207529, 0.0018663475142624323, 0.00027126899198794667, 3.487261263836738e-05], [0.1280852151787444, 0.07769776105990116, 0.021992555536704983, 0.0042620846875801545, 0.0006194834606801736, 7.963684533886893e-05], [0.14858329841121448, 0.08638485872162581, 0.025111650825325946, 0.004866555061500444, 0.0007073417334653123, 9.093134491089627e-05], [0.11310408809169994, 0.06575759708604222, 0.019115407972806895, 0.0037045029842836656, 0.0005384403401207446, 6.921845829963426e-05], [0.06457254052025484, 0.037541835790325, 0.010913225832160315, 0.0021149471526274227, 0.0003074023341401931, 3.9517684804451394e-05], [0.04575034642730483, 0.026598798484405394, 0.007732139055364149, 0.0014984630328706895, 0.0002177978931317483, 2.7998708975087987e-05]]","[{""score"": ""2-0"", ""prob"": 0.14858329841121448}, {""score"": ""1-0"", ""prob"": 0.1280852151787444}, {""score"": ""3-0"", ""prob"": 0.11310408809169994}]",0.6417,0.2263,0.132,40,0.6418,0.2239,0.1343,39998,0.1099,-0.0215,-0.0884,0.1099,0.2198,0.2196,0.0048,model_over_concentrated,,False
2026-06-23,England,Ghana,True,0.8862,0.0888,0.025,0.8732,0.1268,0.0,2.9748,0.376,"[[0.036125556608673254, 0.012126509451537554, 0.002478987498737472, 0.0003107126779016524, 2.9208205444153374e-05, 2.34196143032572e-06], [0.10325560304302409, 0.04028298440812019, 0.007374406796048963, 0.0009242973934735328, 8.688756552320531e-05, 6.966786358008784e-06], [0.15515581656666158, 0.0583410113386986, 0.01096856592082642, 0.0013747840566910824, 0.00012923507157918315, 1.0362278287261738e-05], [0.15385072988043677, 0.057850278352698604, 0.010876304285606967, 0.0013632201178808941, 0.0001281480161593895, 1.0275116415210031e-05], [0.1144174656573709, 0.04302275486007236, 0.008088614028965947, 0.0010138150864951326, 9.530257834572407e-05, 7.641515776210006e-06], [0.12378643320875304, 0.04654563304951004, 0.008750942651066084, 0.0010968303900932568, 0.00010310634116247742, 8.267234174527579e-06]]","[{""score"": ""2-0"", ""prob"": 0.15515581656666158}, {""score"": ""3-0"", ""prob"": 0.15385072988043677}, {""score"": ""4-0"", ""prob"": 0.1144174656573709}]",0.7652,0.1581,0.0767,40,0.7833,0.1429,0.0739,183066,0.108,-0.0313,-0.0767,0.108,0.216,0.1799,0.0361,model_over_concentrated,,False
2026-06-23,Panama,Croatia,True,0.239,0.2618,0.4992,0.2326,0.3007,0.4667,0.9911,1.548,"[[0.08220952882979549, 0.11892833446305642, 0.09458122165332569, 0.048803796875650084, 0.018887025467459396, 0.00776703717345616], [0.0749652822291305, 0.12437770722684123, 0.09373721666378006, 0.04836829131385052, 0.018718485206997967, 0.0076977272405351045], [0.03876852658725546, 0.060013539590375746, 0.04645037161857957, 0.02396833601474112, 0.0092757244662024, 0.003814517900865732], [0.012807523921133806, 0.019826000922829018, 0.015345289027468, 0.007918150723826657, 0.0030643172037852647, 0.001260159556308522], [0.0031733086751677933, 0.004912270405248513, 0.0038020884515756206, 0.0019618730785068788, 0.0007592431156963913, 0.00031222859912296175], [0.0007496487974813924, 0.0011604536397655247, 0.0008981890283619647, 0.0004634644608079399, 0.00017936032921465797, 7.375954180046845e-05]]","[{""score"": ""1-1"", ""prob"": 0.12437770722684123}, {""score"": ""0-1"", ""prob"": 0.11892833446305642}, {""score"": ""0-2"", ""prob"": 0.09458122165332569}]",0.1404,0.2376,0.622,40,0.1343,0.2338,0.6318,47076,0.0922,0.0631,-0.1553,0.1553,0.3106,0.3303,0.0197,model_under_concentrated,,True
2026-06-24,Mexico,Czech Republic,False,0.7117,0.1888,0.0995,0.7053,0.2277,0.067,2.1179,0.6526,"[[0.064967870202164, 0.038533544699029754, 0.01333543921294067, 0.002900755409109045, 0.0004732342412451304, 6.916211351493718e-05], [0.13031131379746158, 0.08889918703813553, 0.028243752141186126, 0.006143645926380733, 0.0010022849942189762, 0.00014648168391640933], [0.1404712271231501, 0.09166687322295002, 0.029909383645896754, 0.00650595792223785, 0.0010613931982112988, 0.00015512021417876947], [0.0991702000082239, 0.06471518999174666, 0.021115495457912577, 0.004593091137644698, 0.0007493248112775687, 0.00010951212558242027], [0.05250930441994943, 0.034265834006482705, 0.011180374536762502, 0.0024319807840980146, 0.0003967575402846028, 5.798521672242442e-05], [0.03327754037413408, 0.021715821361573524, 0.007085513113437908, 0.001541257109115175, 0.000251443343449563, 3.6747875674587955e-05]]","[{""score"": ""2-0"", ""prob"": 0.1404712271231501}, {""score"": ""1-0"", ""prob"": 0.13031131379746158}, {""score"": ""3-0"", ""prob"": 0.0991702000082239}]",0.5216,0.268,0.2104,37,0.5323,0.2637,0.204,40057,0.1837,-0.0403,-0.1434,0.1837,0.3674,0.346,0.0214,model_over_concentrated,,True
2026-06-24,South Africa,South Korea,True,0.135,0.2159,0.649,0.1286,0.2548,0.6165,0.749,1.9252,"[[0.07164146238489669, 0.13007351018994207, 0.12779638704986063, 0.08201321317759006, 0.039473927770872164, 0.02182305412132462], [0.04896612006422333, 0.10212590323418497, 0.09572425112085352, 0.06143094961187548, 0.02956744131734452, 0.0163462799000618], [0.019344270953214063, 0.037242503972323475, 0.035850513712383625, 0.023007034013197016, 0.01107355709734704, 0.006121986067707784], [0.004829859678147855, 0.009298673942493552, 0.008951123101982759, 0.005744374970908568, 0.0027648354930252935, 0.001528531818548167], [0.0009044361726148153, 0.0017412632315162945, 0.0016761811022356391, 0.0010756876718922021, 0.0005177411763192931, 0.00028623180792238054], [0.00015440052568160516, 0.00029725918360705157, 0.0002861487091726208, 0.00018363566942397345, 8.838601574238055e-05, 4.886396956265198e-05]]","[{""score"": ""0-1"", ""prob"": 0.13007351018994207}, {""score"": ""0-2"", ""prob"": 0.12779638704986063}, {""score"": ""1-1"", ""prob"": 0.10212590323418497}]",0.1664,0.2362,0.5974,37,0.1642,0.2239,0.6119,75444,-0.0378,0.0186,0.0191,0.0378,0.0755,0.0711,0.029,model_over_concentrated,,False
2026-06-24,Canada,Switzerland,False,0.4115,0.2748,0.3136,0.4051,0.3138,0.2811,1.3557,1.1497,"[[0.08508318200280382, 0.09043148158595918, 0.053958147366572416, 0.020677989169071914, 0.005943206776144031, 0.0016784538426764255], [0.10725164733312752, 0.13068976026235887, 0.07314988544620334, 0.028032699653296644, 0.008057076013090915, 0.0022754433261840063], [0.07502831863811231, 0.08625767391341299, 0.04958385343033115, 0.019001660253969658, 0.005461401254058584, 0.0015423844847646151], [0.03390475261201685, 0.03897921675452152, 0.022406583469030506, 0.008586712348384882, 0.0024679675860383066, 0.0006969923535244113], [0.01149098371003078, 0.013210818845415001, 0.0075940293264024055, 0.002910204738761, 0.0008364424790994867, 0.00023622433916613663], [0.003982967556240964, 0.004579091240616135, 0.0026322178493561, 0.0010087257408941815, 0.0002899249830114059, 8.18793153515543e-05]]","[{""score"": ""1-1"", ""prob"": 0.13068976026235887}, {""score"": ""1-0"", ""prob"": 0.10725164733312752}, {""score"": ""0-1"", ""prob"": 0.09043148158595918}]",0.2698,0.2828,0.4473,38,0.2709,0.2808,0.4483,31029,0.1353,0.031,-0.1662,0.1662,0.3325,0.3344,0.0041,disagree_on_favorite,,True
2026-06-24,Bosnia and Herzegovina,Qatar,True,0.4719,0.267,0.2611,0.4655,0.306,0.2286,1.4866,1.0387,"[[0.08337301304499518, 0.07979474597430773, 0.043173224120694756, 0.014947621098814997, 0.0038814227058150005, 0.0009696301121564872], [0.11564538675939207, 0.1269202973811746, 0.06418144557682777, 0.022221178742052195, 0.005770134735768264, 0.0014414550578629227], [0.08843960639655808, 0.09185983350572235, 0.047706165571692515, 0.01651703576850024, 0.004288949876425337, 0.0010714357247102854], [0.043824862132977524, 0.04551970212186773, 0.023640043350009642, 0.00818475844582855, 0.0021253219534557604, 0.000530933196482459], [0.016287543154273085, 0.01691743171786687, 0.008785839988813866, 0.0030418716661157552, 0.0007898775112765606, 0.00019732172399093576], [0.006353612538888918, 0.006599325955445685, 0.003427270926551893, 0.001186604620258736, 0.00030812355260077947, 7.697328982456597e-05]]","[{""score"": ""1-1"", ""prob"": 0.1269202973811746}, {""score"": ""1-0"", ""prob"": 0.11564538675939207}, {""score"": ""2-1"", ""prob"": 0.09185983350572235}]",0.6007,0.2415,0.1579,38,0.6119,0.2338,0.1542,45166,-0.1352,0.0645,0.0707,0.1352,0.2704,0.293,0.0226,model_under_concentrated,,False
