date,home_team,away_team,neutral_used,p_home_model,p_draw_model,p_away_model,p_home_model_corr,p_draw_model_corr,p_away_model_corr,p_home_book,p_draw_book,p_away_book,n_books,p_home_poly,p_draw_poly,p_away_poly,poly_volume,div_model_book_home,div_model_book_draw,div_model_book_away,div_model_book_max,div_model_book_l1,div_model_poly_l1,div_book_poly_l1,divergence_type,note,flag_divergent
2026-06-23,Portugal,Uzbekistan,True,0.658,0.2123,0.1297,0.6516,0.2512,0.0971,0.7595,0.1554,0.0851,38,0.7822,0.1436,0.0743,14185,-0.1079,0.0958,0.012,0.1079,0.2157,0.261,0.0453,model_under_concentrated,,False
2026-06-23,Colombia,DR Congo,True,0.7624,0.1636,0.0741,0.756,0.2025,0.0415,0.6419,0.2288,0.1293,38,0.6617,0.2239,0.1144,8445,0.1141,-0.0263,-0.0878,0.1141,0.2282,0.1886,0.0396,model_over_concentrated,,False
2026-06-23,England,Ghana,True,0.8841,0.0903,0.0257,0.8717,0.1283,0.0,0.7181,0.1809,0.101,38,0.7313,0.1642,0.1045,38853,0.1536,-0.0526,-0.101,0.1536,0.3072,0.2808,0.0334,model_over_concentrated,,True
2026-06-23,Panama,Croatia,True,0.2384,0.2616,0.5,0.232,0.3005,0.4675,0.1453,0.2392,0.6155,38,0.1357,0.2362,0.6281,10586,0.0867,0.0613,-0.148,0.148,0.296,0.3212,0.0252,model_under_concentrated,,False
2026-06-24,Mexico,Czech Republic,False,0.7112,0.189,0.0998,0.7048,0.228,0.0672,0.5113,0.2706,0.2181,32,0.5245,0.2647,0.2108,8380,0.1935,-0.0426,-0.1509,0.1935,0.387,0.3606,0.0264,model_over_concentrated,,True
2026-06-24,South Africa,South Korea,True,0.1334,0.2148,0.6518,0.127,0.2538,0.6192,0.2496,0.2825,0.4679,32,0.2304,0.2843,0.4853,3235,-0.1226,-0.0287,0.1513,0.1513,0.3026,0.2678,0.0384,model_over_concentrated,,True
2026-06-24,Canada,Switzerland,False,0.4112,0.2749,0.3139,0.4048,0.3138,0.2814,0.2642,0.284,0.4517,37,0.2696,0.2843,0.4461,4051,0.1406,0.0298,-0.1703,0.1703,0.3407,0.3294,0.0113,disagree_on_favorite,,True
2026-06-24,Bosnia and Herzegovina,Qatar,True,0.472,0.267,0.261,0.4656,0.3059,0.2285,0.6073,0.2381,0.1547,37,0.6181,0.2362,0.1457,8942,-0.1417,0.0678,0.0738,0.1417,0.2833,0.305,0.0217,model_under_concentrated,,False
2026-06-24,Scotland,Brazil,True,0.1242,0.2085,0.6673,0.1178,0.2474,0.6347,0.1465,0.205,0.6485,32,0.1626,0.1823,0.6552,22759,-0.0287,0.0424,-0.0138,0.0424,0.0849,0.1304,0.0455,model_under_concentrated,,False
2026-06-24,Morocco,Haiti,True,0.7457,0.1722,0.0821,0.7393,0.2111,0.0496,0.7117,0.1871,0.1013,32,0.734,0.1724,0.0936,12328,0.0276,0.024,-0.0517,0.0517,0.1033,0.088,0.0447,model_over_concentrated,,False
