date,home_team,away_team,neutral,elo_h_pre,elo_a_pre,eff_diff,home_score,away_score,goal_diff,total_goals
2018-03-25,Thailand,Slovakia,False,1498.2900264265638,1752.1186415456923,-193.82861511912847,2,3,-1,5
2018-03-25,Yorkshire,Chagos Islands,False,1498.2900264265638,1500.0,58.29002642656383,6,0,6,6
2018-03-26,Albania,Norway,False,1608.0,1602.8400615516184,65.15993844838158,0,1,-1,1
2018-03-26,Bulgaria,Kazakhstan,True,1611.1133192532836,1514.559430270884,96.55388898239971,2,1,1,3
2018-03-26,China PR,Czech Republic,False,1550.8775364776275,1703.244991648436,-92.36745517080863,1,4,-3,5
2018-03-26,Curaçao,Bolivia,False,1503.9711725283605,1702.0288274716395,-138.05765494327898,1,0,1,1
2018-03-26,Finland,Malta,True,1598.5422558955656,1488.2900264265638,110.2522294690018,5,0,5,5
2018-03-26,Portugal,Netherlands,True,1996.425900975763,1884.3389721223111,112.08692885345181,0,3,-3,3
2018-03-26,Wales,Uruguay,True,1777.1224635223725,1874.755008351564,-97.63254482919137,0,1,-1,1
2018-03-27,Afghanistan,Cambodia,True,1500.0,1511.7099735734362,-11.709973573436173,2,1,1,3
2018-03-27,Algeria,Iran,True,1547.8307304975092,1790.7126822559912,-242.88195175848205,1,2,-1,3
2018-03-27,Armenia,Lithuania,False,1479.2308131377754,1483.5056304461964,55.72518269157899,0,1,-1,1
2018-03-27,Australia,Colombia,True,1707.1599384483816,1939.3738991261466,-232.21396067776504,0,0,0,0
2018-03-27,Azerbaijan,North Macedonia,True,1488.0761242916954,1520.3413339861866,-32.265209694491205,1,1,0,2
2018-03-27,Bahrain,Turkmenistan,False,1402.8340287864278,1500.0,-37.16597121357222,4,0,4,4
2018-03-27,Belgium,Saudi Arabia,False,1927.0,1570.7249108666974,416.2750891333026,4,0,4,4
2018-03-27,Bosnia and Herzegovina,Senegal,True,1727.7283655817432,1742.298807820133,-14.570442238389887,0,0,0,0
2018-03-27,Myanmar,Macau,False,1471.875,1488.2900264265638,43.58497357343617,1,0,1,1
2018-03-27,Central African Republic,Kenya,True,1501.7099735734362,1500.0,1.709973573436173,3,2,1,5
2018-03-27,Denmark,Chile,False,1833.7151076990206,1869.7890994906136,23.926008208406984,0,0,0,0
2018-03-27,England,Italy,False,1942.6610278776889,1893.3531150234319,109.30791285425698,1,1,0,2
2018-03-27,Georgia,Estonia,False,1498.4943695538036,1513.9920055753655,44.5023639784381,2,0,2,2
