date,home_team,away_team,home_score,away_score,tournament,p_home,p_draw,p_away,actual
2024-06-07,Angola,Eswatini,1,0,FIFA World Cup qualification,0.7156362667895745,0.18694777951854127,0.09741595369188402,0
2024-06-07,Morocco,Zambia,2,1,FIFA World Cup qualification,0.77661754017725,0.15592500927516542,0.06745745054758445,0
2024-06-07,Kenya,Burundi,1,1,FIFA World Cup qualification,0.38933537240179783,0.27630579434876784,0.3343588332494344,1
2024-06-07,Mozambique,Somalia,2,1,FIFA World Cup qualification,0.6679199784143812,0.2082247725068334,0.12385524907878542,0
2024-06-07,Uganda,Botswana,1,0,FIFA World Cup qualification,0.3815430529718563,0.276627854608874,0.34182909241926973,0
2024-06-07,Madagascar,Comoros,2,1,FIFA World Cup qualification,0.39808646363779154,0.27582397223053695,0.3260895641316716,0
2024-06-07,Zimbabwe,Lesotho,0,2,FIFA World Cup qualification,0.4135079589164571,0.2746731119682555,0.3118189291152874,2
2024-06-07,Ivory Coast,Gabon,1,0,FIFA World Cup qualification,0.734067434626536,0.17802669616812572,0.08790586920533824,0
2024-06-07,Scotland,Finland,2,2,Friendly,0.6702694904361597,0.20723858641123596,0.1224919231526044,1
2024-06-07,Cambodia,Mongolia,2,0,Friendly,0.4726885945885799,0.2668855551544369,0.26042585025698317,0
2024-06-07,Poland,Ukraine,3,1,Friendly,0.3239667833297005,0.27567865969655303,0.40035455697374656,0
2024-06-07,Peru,Paraguay,0,0,Friendly,0.5571821669481318,0.24732788053880525,0.19548995251306306,1
2024-06-07,Germany,Greece,2,1,Friendly,0.7031194881104257,0.1927828862814949,0.10409762560807934,0
2024-06-07,England,Iceland,0,1,Friendly,0.9218153197366337,0.06343462714418183,0.01475005311918428,2
2024-06-07,Czech Republic,Malta,7,1,Friendly,0.8822823199803935,0.09148684492563249,0.026230835093974024,0
2024-06-07,Romania,Liechtenstein,0,0,Friendly,0.969863902596705,0.025558646880821462,0.004577450522473317,1
2024-06-07,Belarus,Russia,0,4,Friendly,0.10487887902434544,0.19344344833772104,0.7016776726379337,2
2024-06-07,Armenia,Kazakhstan,2,1,Friendly,0.3759947723452063,0.27679464453804203,0.3472105831167519,0
2024-06-07,Albania,Azerbaijan,3,1,Friendly,0.46044612089383297,0.26891761156200794,0.27063626754415904,0
2024-06-08,USA,Colombia,1,5,Friendly,0.326599840550261,0.2758575750250448,0.3975425844246942,2
2024-06-08,Cameroon,Cape Verde,4,1,FIFA World Cup qualification,0.37227053628447,0.27687701629868716,0.35085244741684296,0
2024-06-08,Gambia,Seychelles,5,1,FIFA World Cup qualification,0.8242253038831618,0.12864463010824093,0.04713006600859722,0
2024-06-08,Cayman Islands,Antigua and Barbuda,1,0,FIFA World Cup qualification,0.3700138927551364,0.27691525263822653,0.3530708546066372,0
2024-06-08,Anguilla,Suriname,0,4,FIFA World Cup qualification,0.03448152130632753,0.10767946898522444,0.857839009708448,2
2024-06-08,Aruba,Curaçao,0,2,FIFA World Cup qualification,0.32097372305672134,0.2754585546347301,0.4035677223085484,2
2024-06-08,Belize,Nicaragua,0,4,FIFA World Cup qualification,0.11964684649080799,0.20514468666551594,0.6752084668436762,2
2024-06-08,British Virgin Islands,Guatemala,0,3,FIFA World Cup qualification,0.04809234261296817,0.13009226932380585,0.821815388063226,2
2024-06-08,Switzerland,Austria,1,1,Friendly,0.4108794225449367,0.27489605510409715,0.3142245223509661,1
2024-06-08,Bahamas,Trinidad and Tobago,1,7,FIFA World Cup qualification,0.03272276658336647,0.10442646421817349,0.8628507691984602,2
2024-06-08,Sweden,Serbia,0,3,Friendly,0.3090233848067111,0.27439901144825485,0.4165776037450341,2
2024-06-08,Slovenia,Bulgaria,1,1,Friendly,0.7699914577085314,0.15950617940531953,0.07050236288614908,1
2024-06-08,Latvia,Lithuania,0,2,Baltic Cup,0.5592170847840289,0.24674302043219148,0.1940398947837796,2
2024-06-08,Portugal,Croatia,1,2,Friendly,0.5046853837279526,0.2605914457811701,0.2347231704908773,2
2024-06-08,Moldova,Cyprus,3,2,Friendly,0.5355416388019087,0.25322512446666884,0.21123323673142264,0
2024-06-08,Mexico,Brazil,2,3,Friendly,0.14974064956021943,0.22502314338199383,0.6252362070577868,2
2024-06-08,Hungary,Israel,3,0,Friendly,0.8039332066963573,0.1406093034446426,0.05545748985900034,0
2024-06-08,Denmark,Norway,3,1,Friendly,0.6052967579996551,0.23213661922532766,0.16256662277501718,0
2024-06-08,Belgium,Luxembourg,3,0,Friendly,0.9233890076271374,0.06226577575158385,0.014345216621278693,0
2024-06-08,Estonia,Faroe Islands,4,1,Baltic Cup,0.5383528344027314,0.2524926338930482,0.2091545317042201,0
2024-06-08,Spain,Northern Ireland,5,1,Friendly,0.949515344101442,0.04219499108020756,0.008289664818350286,0
2024-06-08,Brunei,Sri Lanka,1,0,Friendly,0.4399330320216098,0.27183830556824945,0.28822866241014095,0
2024-06-09,Grenada,Costa Rica,0,3,FIFA World Cup qualification,0.07796198595161181,0.16782716366172834,0.7542108503866598,2
2024-06-09,Barbados,Haiti,1,3,FIFA World Cup qualification,0.037672153665427276,0.11334678167584414,0.8489810646587286,2
2024-06-09,Bermuda,Honduras,1,6,FIFA World Cup qualification,0.13937952739389745,0.21871670638940233,0.6419037662167003,2
2024-06-09,Dominica,Jamaica,2,3,FIFA World Cup qualification,0.05465618643512404,0.13951037203749062,0.8058334415273853,2
2024-06-09,Saint Vincent and the Grenadines,El Salvador,1,3,FIFA World Cup qualification,0.18684051853436603,0.24373013035559643,0.5694293511100375,2
2024-06-09,Montserrat,Panama,1,3,FIFA World Cup qualification,0.03879547089635249,0.11527546869200803,0.8459290604116394,2
2024-06-09,São Tomé and Príncipe,Liberia,0,1,FIFA World Cup qualification,0.1815926748581619,0.2414162082541111,0.5769911168877271,2
2024-06-09,Namibia,Tunisia,0,0,FIFA World Cup qualification,0.08762346701500881,0.17774989804632352,0.7346266349386676,1
2024-06-09,Mauritania,Senegal,0,1,FIFA World Cup qualification,0.05524442954581768,0.14031812355965095,0.8044374468945313,2
2024-06-09,DR Congo,Togo,1,0,FIFA World Cup qualification,0.6394409252199986,0.219669077125861,0.14088999765414023,0
2024-06-09,Djibouti,Ethiopia,1,1,FIFA World Cup qualification,0.2756881957715561,0.2698300376699152,0.45448176655852884,1
2024-06-09,Slovakia,Wales,4,0,Friendly,0.3559381445526873,0.2769513887701162,0.36711046667719643,0
2024-06-09,Montenegro,Georgia,1,3,Friendly,0.2933702734873598,0.272558897559767,0.4340708289528733,2
2024-06-09,Italy,Bosnia and Herzegovina,1,0,Friendly,0.927865554500428,0.05891717647834767,0.01321726902122419,0
2024-06-09,France,Canada,0,0,Friendly,0.8407423691224736,0.11852530713585367,0.04073232374167276,1
2024-06-09,Argentina,Ecuador,1,0,Friendly,0.7560034620996723,0.16689661085526353,0.07709992704506413,0
2024-06-10,Ghana,Central African Republic,4,3,FIFA World Cup qualification,0.6242933839918527,0.22537011145858984,0.15033650454955724,0
2024-06-10,Equatorial Guinea,Malawi,1,0,FIFA World Cup qualification,0.5479136538780679,0.24992612474845707,0.20216022137347497,0
2024-06-10,Guinea,Mozambique,0,1,FIFA World Cup qualification,0.581415772419229,0.24002973598204716,0.178554491598724,2
2024-06-10,Uganda,Algeria,1,2,FIFA World Cup qualification,0.13012982852688193,0.21262485201553077,0.6572453194575872,2
2024-06-10,Benin,Nigeria,2,1,FIFA World Cup qualification,0.09072806839559572,0.18075407979386718,0.7285178518105373,0
2024-06-10,Somalia,Botswana,1,3,FIFA World Cup qualification,0.16905951894519378,0.23546656411779315,0.595473916937013,2
2024-06-10,Guinea-Bissau,Egypt,1,1,FIFA World Cup qualification,0.11120391886568677,0.19863285642143422,0.6901632247128792,1
2024-06-10,Poland,Turkey,2,1,Friendly,0.4723049006119794,0.26695245880459706,0.26074264058342356,0
2024-06-10,Netherlands,Iceland,4,0,Friendly,0.9110915484254973,0.07128819918539689,0.017620252389105685,0
2024-06-10,Czech Republic,North Macedonia,2,1,Friendly,0.7747399786445031,0.15694503440290547,0.06831498695259122,0
2024-06-10,Burkina Faso,Sierra Leone,2,2,FIFA World Cup qualification,0.566796578075083,0.24451923375842108,0.18868418816649601,1
2024-06-11,Iraq,Vietnam,3,1,FIFA World Cup qualification,0.8092692844693352,0.13751218090865214,0.05321853462201254,0
2024-06-11,North Korea,Myanmar,4,1,FIFA World Cup qualification,0.7160152632192494,0.18676828308096313,0.09721645369978733,0
2024-06-11,Thailand,Singapore,3,1,FIFA World Cup qualification,0.7597867796134594,0.16492035164062818,0.07529286874591232,0
2024-06-11,Japan,Syria,5,0,FIFA World Cup qualification,0.9003711358341059,0.0789527014054907,0.02067616276040338,0
2024-06-11,South Korea,China PR,1,0,FIFA World Cup qualification,0.7984086301448606,0.14377930202530445,0.05781206782983502,0
2024-06-11,Oman,Kyrgyzstan,1,1,FIFA World Cup qualification,0.7450896361453395,0.17250403040552062,0.08240633344914018,1
2024-06-11,Malaysia,Taiwan,3,1,FIFA World Cup qualification,0.8016535249449548,0.14192187321356667,0.056424601841478586,0
2024-06-11,Turkmenistan,Hong Kong,0,0,FIFA World Cup qualification,0.5894953722612615,0.2374364269257156,0.17306820081302288,1
2024-06-11,Iran,Uzbekistan,0,0,FIFA World Cup qualification,0.5757973394804787,0.24178617647377426,0.18241648404574695,1
2024-06-11,Indonesia,Philippines,2,0,FIFA World Cup qualification,0.7433247148104551,0.17339781586345807,0.08327746932608687,0
2024-06-11,Tajikistan,Pakistan,3,0,FIFA World Cup qualification,0.8548523822809374,0.10960196306876059,0.035545654650302114,0
2024-06-11,Guyana,Belize,3,1,FIFA World Cup qualification,0.7079487581995925,0.19055294063980427,0.10149830116060343,0
2024-06-11,United Arab Emirates,Bahrain,1,1,FIFA World Cup qualification,0.506327244134491,0.2602310318029331,0.23344172406257607,1
2024-06-11,Yemen,Nepal,2,2,FIFA World Cup qualification,0.4384471881467472,0.2720258131655411,0.2895269986877116,1
2024-06-11,Lebanon,Bangladesh,4,0,FIFA World Cup qualification,0.5535636312534787,0.2483551011416817,0.19808126760483968,0
2024-06-11,Australia,Palestine,5,0,FIFA World Cup qualification,0.840351408856429,0.11876885962931595,0.040879731514255016,0
2024-06-11,Cuba,Cayman Islands,3,0,FIFA World Cup qualification,0.7527665965137174,0.16857415523098562,0.07865924825529691,0
2024-06-11,Saint Kitts and Nevis,Bahamas,1,0,FIFA World Cup qualification,0.6640311364775822,0.2098430393472488,0.1261258241751693,0
2024-06-11,Saint Lucia,Aruba,2,2,FIFA World Cup qualification,0.4296965841410729,0.2730628924539725,0.2972405234049546,1
